"year_number","month_number","cost"
"2019","5","103.41510951649994"
"2019","6","275.75822188509954"
"2019","7","1120.3114252936011"
"2019","8","2697.414527010596"
"2019","9","2739.950502346992"
"2019","10","2507.939432698793"
"2019","11","2542.4784910962917"
"2019","12","3731.3301018109973"
"2020","1","4742.0328121598095"
"2020","2","7809.101647103523"
"2020","3","10681.042330903781"
"2020","4","9772.236860294523"
"2020","5","12932.542030165525"
"2020","6","14913.498235984249"
"2020","7","16447.57201937033"
"2020","8","19919.44469384274"
"2020","9","22007.9141903339"
"2020","10","22418.115283897594"
"2020","11","22797.41638156839"
"2020","12","23170.288250154117"
"2021","1","23385.85336666433"
"2021","2","22662.36912226299"
"2021","3","24912.52595483905"
"2021","4","20839.058325559283"
"2021","5","22439.30452787845"
"2021","6","23892.262979133717"
"2021","7","23992.24324394809"
"2021","8","23912.966223898547"
"2021","9","26448.966218862755"
"2021","10","26207.565692579356"
"2021","11","22174.035077068136"
"2021","12","23658.629737213436"
"2022","1","23451.794440759215"
"2022","2","20519.937065833295"
"2022","3","4804.997609929342"
"2022","4","24044.80871632749"
"2022","5","24777.69912018306"
"2022","6","25532.85116451512"
"2022","7","27164.549906960583"
"2022","8","30968.335233892878"
"2022","9","29990.789250742764"
"2022","10","24026.837205816893"
"2022","11","23433.404085772683"
"2022","12","23981.324864126324"
"2023","1","22689.49095775302"
"2023","2","19950.874697366922"
"2023","3","22460.2341593192"
"2023","4","22409.57875448268"
"2023","5","24084.734093875883"
"2023","6","26551.54507539413"
"2023","7","27346.94946478839"
"2023","8","28135.27171916049"
"2023","9","31502.711926150587"
"2023","10","34827.90409684009"
"2023","11","31249.949064365712"
"2023","12","31133.241947414095"
"2024","1","27225.359216531808"
"2024","2","25582.779108632545"
"2024","3","3547.219315577989"
