"year_number","month_number","cost"
"2022","3","320.95973785280034"
"2022","4","1205.3023446929012"
"2022","5","1311.7193648310022"
"2022","6","1367.8895997554012"
"2022","7","1337.7854169677007"
"2022","8","1641.5936350528996"
"2022","9","2483.190304701004"
"2022","10","1542.0254158514012"
"2022","11","1617.1769827265998"
"2022","12","2283.356871623999"
"2023","1","1712.8245232648007"
"2023","2","1615.9390788391001"
"2023","3","1814.2019972302005"
"2023","4","2000.4165469007016"
"2023","5","2364.1103571296026"
"2023","6","2450.4217004139014"
"2023","7","2649.592798869701"
"2023","8","2608.2479693882015"
"2023","9","3609.7359008420967"
"2023","10","5758.292564101998"
"2023","11","6236.615777769903"
"2023","12","6056.424986383181"
"2024","1","5804.710750106086"
"2024","2","6699.733178658297"
"2024","3","856.2813358963997"
