"year_number","month_number","cost"
"2019","8","-4.600000000000003E-8"
"2019","9","-4.440000000000003E-8"
"2019","10","-4.7300000000000046E-8"
"2019","11","-3.2399999999999986E-8"
"2019","12","-4.9099999999999996E-8"
"2020","1","-1.750499999999999E-6"
"2020","2","2078.8697080010998"
"2020","3","2542.8374166599997"
"2020","4","3469.368679709912"
"2020","5","5188.607831536835"
"2020","6","6015.564716952077"
"2020","7","6824.989551875958"
"2020","8","8315.450779917073"
"2020","9","9251.482803852094"
"2020","10","9393.562519638012"
"2020","11","11957.876836597412"
"2020","12","14316.627483257796"
"2021","1","13254.331575186705"
"2021","2","12629.52487469951"
"2021","3","13022.91322366905"
"2021","4","14659.676944297502"
"2021","5","15254.227393155054"
"2021","6","15120.07584805193"
"2021","7","15208.476409427114"
"2021","8","14833.708451390352"
"2021","9","15229.926892112317"
"2021","10","17822.149775971255"
"2021","11","18266.120158316695"
"2021","12","17521.51221756922"
"2022","1","16993.467358063393"
"2022","2","15814.265715617852"
"2022","3","15847.542421155713"
"2022","4","15696.658182934096"
"2022","5","14109.895126343663"
"2022","6","12234.632827582958"
"2022","7","12043.95718038817"
"2022","8","12202.20835663654"
"2022","9","12646.124011980964"
"2022","10","12773.629505093895"
"2022","11","12199.687266496543"
"2022","12","12336.03230331105"
"2023","1","12308.58423938031"
"2023","2","11561.368617356182"
"2023","3","11080.232630481274"
"2023","4","10545.625399509443"
"2023","5","10813.861574672572"
"2023","6","10836.064259173258"
"2023","7","11630.464881426948"
"2023","8","10801.749976519057"
"2023","9","10234.054133502408"
"2023","10","10033.870638947066"
"2023","11","9639.29432793282"
"2023","12","9412.463017619282"
"2024","1","9429.095249493565"
"2024","2","9288.649070789323"
"2024","3","1847.6464415842013"
