"year_number","month_number","cost"
"2019","2","0.5"
"2019","4","53.3665601269"
"2019","5","166.86442626849998"
"2019","6","421.11442627099996"
"2019","7","577.9144262685"
"2019","8","415.5556279047999"
"2019","9","168.64812790700003"
"2019","10","0.013127904799999998"
"2019","11","102.20312790699998"
"2019","12","160.22562790479998"
"2020","1","160.76812790479983"
"2020","2","149.49137664309995"
"2020","3","160.84557314479989"
"2020","4","160.31732570909998"
"2020","5","148.76373890479996"
"2020","6","143.96612810700003"
"2020","7","149.02557671319994"
"2020","8","148.79182284769996"
"2020","9","143.94998944999998"
"2020","10","148.7815448476999"
"2020","11","143.97537845"
"2020","12","148.77065624770012"
"2021","1","148.8087672476999"
"2021","2","134.38993384679998"
"2021","3","148.76243384769992"
"2021","4","146.64965245909997"
"2021","5","398.8744826927998"
"2021","6","504.29717224259986"
"2021","7","520.8377931261999"
"2021","8","520.9277388850999"
"2021","9","513.0920378990998"
"2021","10","562.8853932666"
"2021","11","570.1087079515999"
"2021","12","1506.2715779311004"
"2022","1","1618.1996190879008"
"2022","2","2283.5531916605973"
"2022","3","2628.3378757451005"
"2022","4","2462.417806429701"
"2022","5","552.372567528"
"2022","6","443.2873685769"
"2022","7","491.6428933913999"
"2022","8","510.6872335319997"
"2022","9","475.2568487363997"
"2022","10","466.3542448058999"
"2022","11","456.59275604849955"
"2022","12","360.3352382387001"
"2023","1","205.08229254889994"
"2023","2","189.0936884117"
"2023","3","213.1117184388999"
"2023","4","206.62215015499999"
"2023","5","213.31350161239993"
"2023","6","276.04767412889987"
"2023","7","312.60337033490003"
"2023","8","385.1142074359999"
"2023","9","330.7390008772001"
"2023","10","341.7997120122999"
"2023","11","330.83288508349983"
"2023","12","451.1981126111999"
"2024","1","426.47498918519926"
"2024","2","400.1826215398004"
"2024","3","109.46614417950003"
