"year_number","month_number","cost"
"2019","1","4.8723826155"
"2019","2","18.816239304600003"
"2019","3","20.8323419154"
"2019","4","20.160355268300002"
"2019","5","20.832882737200006"
"2019","6","20.160534690900008"
"2019","7","20.8324185428"
"2019","8","20.83364623950001"
"2019","9","20.16043459240001"
"2019","10","2733.1123306472996"
"2019","11","5363.345618848799"
"2019","12","23226.564403937395"
"2020","1","24722.750215246087"
"2020","2","25130.162792099083"
"2020","3","27222.780028056586"
"2020","4","25709.5343113243"
"2020","5","46368.39246444506"
"2020","6","64000.08984617673"
"2020","7","83832.85069375794"
"2020","8","177158.74534071857"
"2020","9","171933.2939473608"
"2020","10","157648.96877654863"
"2020","11","141170.065480649"
"2020","12","148064.16916270065"
"2021","1","142400.41545301196"
"2021","2","156765.0678454288"
"2021","3","166388.75561046833"
"2021","4","148621.3520395274"
"2021","5","163768.4869020712"
"2021","6","154671.13435435272"
"2021","7","162436.74382363347"
"2021","8","162836.5850301872"
"2021","9","160417.39968153884"
"2021","10","165633.41798365934"
"2021","11","164256.07794088544"
"2021","12","173320.99025994333"
"2022","1","170646.23721093428"
"2022","2","156237.1744854769"
"2022","3","183849.08080354278"
"2022","4","173496.63082623825"
"2022","5","177702.3495736518"
"2022","6","189523.2485044931"
"2022","7","202590.14309141654"
"2022","8","232731.8099569904"
"2022","9","230241.0813658551"
"2022","10","237119.11297438495"
"2022","11","221386.63575288918"
"2022","12","226274.9863249238"
"2023","1","229684.89172740062"
"2023","2","219459.51358768952"
"2023","3","235929.19766618602"
"2023","4","220466.56437090086"
"2023","5","231082.1847990376"
"2023","6","224888.3786616046"
"2023","7","225904.0649384533"
"2023","8","239082.06842574314"
"2023","9","245342.9682784529"
"2023","10","230007.67308370632"
"2023","11","217522.747131233"
"2023","12","225668.490626865"
"2024","1","215037.4535561984"
"2024","2","213608.4563254122"
"2024","3","28404.062212142464"
