"year_number","month_number","cost"
"2019","11","2.2230443787000005"
"2019","12","36.67418836019994"
"2020","1","86.35140969890004"
"2020","2","112.01539019220002"
"2020","3","89.6255979178"
"2020","4","109.53528634"
"2020","5","219.31187266670014"
"2020","6","274.0790329532"
"2020","7","298.66085694820015"
"2020","8","316.1882124627999"
"2020","9","272.4515302346001"
"2020","10","255.7773164556002"
"2020","11","244.99313853310002"
"2020","12","241.22167090850004"
"2021","1","266.25879184800016"
"2021","2","242.46514223499997"
"2021","3","268.9294601285"
"2021","4","277.9791220692999"
"2021","5","296.84209063580005"
"2021","6","372.7193960007999"
"2021","7","1063.9451593915996"
"2021","8","1233.1750908511003"
"2021","9","1200.2173715635988"
"2021","10","1253.4067154315994"
"2021","11","1246.6746617444999"
"2021","12","1216.6122745382988"
"2022","1","1186.3991141720994"
"2022","2","1043.2761470504997"
"2022","3","1240.347045389199"
"2022","4","1624.5861719851998"
"2022","5","1841.5816558293022"
"2022","6","1819.226331565701"
"2022","7","1895.6382816008997"
"2022","8","1878.2600369977008"
"2022","9","1469.7497698198001"
"2022","10","1290.4562155575"
"2022","11","1250.5279401547007"
"2022","12","1420.6294023993"
"2023","1","1308.1536754319006"
"2023","2","1346.148856890901"
"2023","3","1715.0320976905023"
"2023","4","1470.3388753331024"
"2023","5","1525.398234894401"
"2023","6","1262.9896896364016"
"2023","7","1273.2660162649024"
"2023","8","1534.2025007267007"
"2023","9","1388.7758674566014"
"2023","10","1340.4769172026004"
"2023","11","1421.9226904871002"
"2023","12","1538.9232339049952"
"2024","1","1862.4588666638936"
"2024","2","1919.0272297502943"
"2024","3","414.39852454329997"
