"year_number","month_number","cost"
"2019","1","2797.396637688602"
"2019","2","2611.7914838659017"
"2019","3","3479.9513010356013"
"2019","4","7232.439861115779"
"2019","5","3426.683912263199"
"2019","6","4093.6971762987005"
"2019","7","7021.7735892412975"
"2019","8","6826.299188598023"
"2019","9","6620.7846333186935"
"2019","10","6185.5197612745915"
"2019","11","7399.068178123253"
"2019","12","7264.261598847908"
"2020","1","6857.696748401515"
"2020","2","6381.5620726311045"
"2020","3","5894.126139415591"
"2020","4","2750.019442125203"
"2020","5","2802.2776130443103"
"2020","6","3150.7554998624046"
"2020","7","3408.9763500789"
"2020","8","2850.6518765831925"
"2020","9","3483.997417926006"
"2020","10","3276.0404356038975"
"2020","11","4026.9779493668625"
"2020","12","4106.591273133968"
"2021","1","4317.1021593502555"
"2021","2","4625.585364489276"
"2021","3","5622.577325908183"
"2021","4","5920.93501536114"
"2021","5","5569.673820234151"
"2021","6","5951.358683598444"
"2021","7","748.0149846360449"
"2021","8","6021.087147285155"
"2021","9","6534.626076511926"
"2021","10","7794.571535422124"
"2021","11","7823.9545594273895"
"2021","12","7835.435590600521"
"2022","1","8671.181499139317"
"2022","2","8213.317870635456"
"2022","3","4216.866771230643"
"2022","4","11006.44902281767"
"2022","5","13229.218875763943"
"2022","6","13330.588324482644"
"2022","7","15207.21271960463"
"2022","8","13428.342100680959"
"2022","9","14832.321004902544"
"2022","10","12790.302967140398"
"2022","11","11350.903421330164"
"2022","12","10268.065959143954"
"2023","1","11321.55446789887"
"2023","2","7979.088500167553"
"2023","3","6411.966617651482"
"2023","4","5467.287011006179"
"2023","5","9404.565839974162"
"2023","6","9901.329784277861"
"2023","7","9911.009909969078"
"2023","8","10600.144382138164"
"2023","9","9042.53532269645"
"2023","10","10454.244353212245"
"2023","11","9482.306607679258"
"2023","12","9977.223320445108"
"2024","1","9064.122237954442"
"2024","2","13545.316745600341"
"2024","3","1987.0488943318016"
