"year_number","month_number","cost"
"2020","1","12.265738659999998"
"2020","4","154.95240000000004"
"2020","5","3381.09510737"
"2020","6","3264.98008"
"2020","7","3582.8412233399995"
"2020","8","3373.2454239999984"
"2020","9","3286.1927999999994"
"2020","10","3490.673899999999"
"2020","11","3239.2857999999997"
"2020","12","3912.90565666"
"2021","1","2588.8169139399993"
"2021","2","2160.9776999999995"
"2021","3","2396.7828037200006"
"2021","4","82627.63457744985"
"2021","5","134379.9589411767"
"2021","6","124154.89480233201"
"2021","7","130703.31165593221"
"2021","8","132318.04332438682"
"2021","9","130713.40056421905"
"2021","10","133210.35930784998"
"2021","11","132398.90715584077"
"2021","12","140700.12473675134"
"2022","1","137717.00299681738"
"2022","2","122079.36846196362"
"2022","3","143776.12655718497"
"2022","4","135681.99647001398"
"2022","5","138107.1488633494"
"2022","6","148853.08096556782"
"2022","7","156807.24778315204"
"2022","8","172513.87867608687"
"2022","9","162421.83632603305"
"2022","10","175038.48266290038"
"2022","11","174389.4089174857"
"2022","12","179291.3469077238"
"2023","1","180689.8368514203"
"2023","2","171310.5602466632"
"2023","3","175341.5740706418"
"2023","4","158988.60113935298"
"2023","5","166072.59781251388"
"2023","6","154852.89922025226"
"2023","7","156789.8000497391"
"2023","8","163677.90363094103"
"2023","9","159982.997231841"
"2023","10","150031.88321030664"
"2023","11","136596.80328913953"
"2023","12","136255.60422926417"
"2024","1","121533.02981048572"
"2024","2","116737.93158620145"
"2024","3","24465.22500162781"
