"year_number","month_number","cost"
"2019","1","4123.720403128502"
"2019","2","4128.335062309302"
"2019","3","6025.374508204101"
"2019","4","6408.911624928199"
"2019","5","6619.925121105398"
"2019","6","6266.7736249284"
"2019","7","7004.334645278202"
"2019","8","6575.170766064904"
"2019","9","5815.2060346714015"
"2019","10","6086.859789934602"
"2019","11","5387.703067328004"
"2019","12","5232.504775132399"
"2020","1","5268.056545757598"
"2020","2","5600.099866530902"
"2020","3","6003.6368565868"
"2020","4","3836.6423793725994"
"2020","5","6054.5551623262"
"2020","6","7498.324407099798"
"2020","7","11609.029009294405"
"2020","8","10031.611332006602"
"2020","9","16126.148864455201"
"2020","10","29431.610140658002"
"2020","11","38161.389374380014"
"2020","12","48019.955992876734"
"2021","1","48250.67289302652"
"2021","2","48652.52057664401"
"2021","3","55887.839786992794"
"2021","4","57753.1755889154"
"2021","5","105872.58099078079"
"2021","6","93185.90553523258"
"2021","7","2617.1913135964423"
"2021","8","27232.78314470927"
"2021","9","113293.82556246384"
"2021","10","129205.09820782099"
"2021","11","118454.9849327766"
"2021","12","145378.55200855594"
"2022","1","119785.45247868789"
"2022","2","104958.8870959524"
"2022","3","48875.32297588195"
"2022","4","127667.41318730007"
"2022","5","129167.54188174882"
"2022","6","124524.43602692007"
"2022","7","130727.1669231892"
"2022","8","133892.53854321403"
"2022","9","128373.27421947286"
"2022","10","69550.0150517913"
"2022","11","107212.31602769416"
"2022","12","109365.62151028975"
"2023","1","17931.106681741378"
"2023","2","98050.47189626297"
"2023","3","-9253.73986721161"
"2023","4","10058.595885448673"
"2023","5","108920.36041334135"
"2023","6","105339.84414389994"
"2023","7","111926.0633262157"
"2023","8","117012.11189154685"
"2023","9","124444.43273450293"
"2023","10","134723.0157356626"
"2023","11","135474.74973444518"
"2023","12","164275.4521200806"
"2024","1","154270.74790882782"
"2024","2","142964.26403393902"
"2024","3","85196.8812659895"
