"year_number","month_number","cost"
"2019","1","1043.8320000000006"
"2019","2","833.5360000000002"
"2019","3","81.37500000000003"
"2019","4","0.066"
"2019","6","386.57"
"2019","7","1983.7578055520005"
"2019","8","2488.8387812220008"
"2019","9","3845.50365449"
"2019","10","6029.236094641802"
"2019","11","6022.6187077473005"
"2019","12","6553.716142411101"
"2020","1","6821.099939705198"
"2020","2","7173.770952504999"
"2020","3","7632.847870834298"
"2020","4","6366.9091262627"
"2020","5","6566.247949145799"
"2020","6","6408.043188199996"
"2020","7","6662.710783676296"
"2020","8","6407.345831317899"
"2020","9","6178.114172847898"
"2020","10","7248.083930905296"
"2020","11","7783.053573138093"
"2020","12","8617.751431164095"
"2021","1","9279.026783658"
"2021","2","8019.055279069398"
"2021","3","8867.843846760905"
"2021","4","9076.642120278299"
"2021","5","8628.0186370187"
"2021","6","6926.8638916934015"
"2021","7","7716.713310616104"
"2021","8","9349.342335439502"
"2021","9","12044.376827400098"
"2021","10","21643.5846267969"
"2021","11","21300.748748853097"
"2021","12","21812.31870434861"
"2022","1","25532.781858474802"
"2022","2","31200.917675912002"
"2022","3","9352.211150637237"
"2022","4","21144.337076119184"
"2022","5","16969.42986597341"
"2022","6","13327.662407625898"
"2022","7","15219.716703447792"
"2022","8","12610.5575102592"
"2022","9","12046.959254699805"
"2022","10","15181.718396217291"
"2022","11","13398.140938254499"
"2022","12","14049.455759840097"
"2023","1","14113.947971105095"
"2023","2","11379.5553936877"
"2023","3","10497.901669479192"
"2023","4","10153.376705161094"
"2023","5","10253.094009760804"
"2023","6","9336.487809038495"
"2023","7","9574.822282047198"
"2023","8","11246.538609031204"
"2023","9","11013.091026983295"
"2023","10","10741.272208676104"
"2023","11","6326.827242305606"
"2023","12","4788.017350417002"
"2024","1","4648.4011056153"
"2024","2","4524.950143146501"
"2024","3","1441.7982268174005"
