"year_number","month_number","cost"
"2019","10","8.202020016299999"
"2019","11","195.32719346460001"
"2019","12","291.65647022139996"
"2020","1","384.5787003778999"
"2020","2","1752.5998083973993"
"2020","3","1507.1182706532982"
"2020","4","3033.875765467008"
"2020","5","8948.682580486431"
"2020","6","19985.636993098185"
"2020","7","26890.224190794048"
"2020","8","38230.13303880491"
"2020","9","40129.92646895232"
"2020","10","41556.34662589129"
"2020","11","52060.3084305381"
"2020","12","52763.27677257656"
"2021","1","51060.19502864434"
"2021","2","45903.23215219936"
"2021","3","44117.99752150976"
"2021","4","47404.40237926726"
"2021","5","49614.42437022977"
"2021","6","49518.54832981082"
"2021","7","49749.92306188225"
"2021","8","51714.62974500883"
"2021","9","54770.14771385244"
"2021","10","61781.95001978435"
"2021","11","76417.90282929418"
"2021","12","65920.78694394919"
"2022","1","62553.58170646656"
"2022","2","57298.10036754009"
"2022","3","58274.2109554074"
"2022","4","58920.78191831329"
"2022","5","59870.84357460228"
"2022","6","56616.6470717412"
"2022","7","55794.98514215045"
"2022","8","55271.46698139604"
"2022","9","55789.880936932976"
"2022","10","57417.10304224059"
"2022","11","56401.21537329236"
"2022","12","56774.931314587506"
"2023","1","56594.892296962775"
"2023","2","55640.46140209541"
"2023","3","57966.940400193955"
"2023","4","55892.04165879263"
"2023","5","56143.61647694525"
"2023","6","55087.28455581061"
"2023","7","56713.106616620265"
"2023","8","56143.25983655592"
"2023","9","54785.70974170952"
"2023","10","55807.115645022015"
"2023","11","56471.72639002345"
"2023","12","56962.6668188094"
"2024","1","57026.48218273098"
"2024","2","56986.105959769615"
"2024","3","6597.589509714585"
