"year_number","month_number","cost"
"2019","1","5239.531693209487"
"2019","2","5040.033959016106"
"2019","3","5121.235644815174"
"2019","4","5418.153756044702"
"2019","5","5414.532734570882"
"2019","6","5534.074642526284"
"2019","7","5671.466335981687"
"2019","8","5290.7490226708505"
"2019","9","5280.48680064153"
"2019","10","5414.067366892168"
"2019","11","5094.4830172027405"
"2019","12","4849.463099412857"
"2020","1","4857.319471722163"
"2020","2","4767.483916931788"
"2020","3","3810.7543438026596"
"2020","4","2538.5393591291936"
"2020","5","2529.4098993194093"
"2020","6","2570.494882244081"
"2020","7","3270.4609406352097"
"2020","8","3251.0900487116064"
"2020","9","3110.6971425253673"
"2020","10","3256.439246843508"
"2020","11","3202.0912539278675"
"2020","12","2849.4565697407124"
"2021","1","2904.2621631843053"
"2021","2","2811.673832478163"
"2021","3","3063.475105601214"
"2021","4","2879.605571527397"
"2021","5","3133.726819765231"
"2021","6","3005.3130178421716"
"2021","7","3139.8608814209256"
"2021","8","2913.3413574579304"
"2021","9","3899.8447113514726"
"2021","10","3841.9993019495287"
"2021","11","4232.599231924706"
"2021","12","4203.09343503292"
"2022","1","3926.2593336461364"
"2022","2","3592.9542753920814"
"2022","3","2432.6366778334905"
"2022","4","4710.274135334254"
"2022","5","4940.91715876571"
"2022","6","4695.963335690565"
"2022","7","4793.330992788412"
"2022","8","4641.6684256228"
"2022","9","4308.355039583568"
"2022","10","4752.088665339899"
"2022","11","4812.215331005382"
"2022","12","4989.340193479017"
"2023","1","4442.110743422519"
"2023","2","3816.234186934482"
"2023","3","3991.699725728211"
"2023","4","3979.588347429489"
"2023","5","3767.0288695869194"
"2023","6","4282.490501229891"
"2023","7","4176.194188132131"
"2023","8","4154.636499614423"
"2023","9","3981.9569071232854"
"2023","10","4153.551200153633"
"2023","11","3861.3602194067607"
"2023","12","3944.315821680889"
"2024","1","3884.61777453189"
"2024","2","3912.0916034593706"
"2024","3","774.8203824615006"
