"year_number","month_number","cost"
"2019","8","-5.1599999999999986E-8"
"2019","9","-4.940000000000004E-8"
"2019","10","-4.750000000000005E-8"
"2019","11","-2.7199999999999982E-8"
"2019","12","-5.7365999999999766E-6"
"2020","1","-6.799399999999991E-6"
"2020","2","-6.187899999999979E-6"
"2020","3","-6.761499999999957E-6"
"2020","4","-8.061199999999976E-6"
"2020","5","55.32700620500001"
"2020","6","5936.221077765809"
"2020","7","10829.678004309293"
"2020","8","18107.548579579558"
"2020","9","22310.922894828705"
"2020","10","25021.726647446187"
"2020","11","34827.4503344088"
"2020","12","34967.1895100205"
"2021","1","33858.38578800776"
"2021","2","27878.09825215717"
"2021","3","26300.81457888224"
"2021","4","28190.109253430357"
"2021","5","28673.07428913919"
"2021","6","28182.117494156424"
"2021","7","28544.591458069543"
"2021","8","30545.292779388867"
"2021","9","32310.197404570987"
"2021","10","34612.25322626924"
"2021","11","46225.44792750807"
"2021","12","37195.47757342448"
"2022","1","35309.14273571726"
"2022","2","32101.222506563412"
"2022","3","31775.427165448655"
"2022","4","32368.126410881618"
"2022","5","34987.13621323882"
"2022","6","34810.30290804923"
"2022","7","35027.98441932427"
"2022","8","34551.60483837618"
"2022","9","34567.34246820005"
"2022","10","35832.04411606822"
"2022","11","35554.12676286661"
"2022","12","35704.18401209026"
"2023","1","35647.864508318264"
"2023","2","34912.8906679968"
"2023","3","35879.15819803385"
"2023","4","35489.270684726456"
"2023","5","35575.51333596736"
"2023","6","34300.67789696379"
"2023","7","35098.95484243835"
"2023","8","35161.464382468424"
"2023","9","34941.644014241494"
"2023","10","36114.170837095444"
"2023","11","36994.46074579316"
"2023","12","37324.44756293297"
"2024","1","37370.51705588445"
"2024","2","37737.74503379548"
"2024","3","7113.932968828874"
