"year_number","month_number","cost"
"2019","1","1958.9044111922997"
"2019","2","2071.5700137985996"
"2019","3","3200.7810189001"
"2019","4","2735.0688050800995"
"2019","5","3765.4520313813973"
"2019","6","4692.206433684798"
"2019","7","5606.425837524996"
"2019","8","5404.303788260797"
"2019","9","6003.205112449598"
"2019","10","6264.598434101195"
"2019","11","6123.8932360128965"
"2019","12","6251.031114094896"
"2020","1","6197.923632406497"
"2020","2","7110.134313837996"
"2020","3","8220.6261064164"
"2020","4","8688.606315814197"
"2020","5","8670.9367849498"
"2020","6","8420.159726708496"
"2020","7","9256.666825211698"
"2020","8","9928.671128663997"
"2020","9","11482.755579212897"
"2020","10","14177.980892289002"
"2020","11","17390.656549358904"
"2020","12","26904.4763061688"
"2021","1","21227.907470269976"
"2021","2","18738.18836945809"
"2021","3","25169.125446661183"
"2021","4","27689.009694286782"
"2021","5","58833.24740640226"
"2021","6","76665.35120929689"
"2021","7","58456.34029424292"
"2021","8","91821.4934722388"
"2021","9","101229.57929335338"
"2021","10","116960.81591536442"
"2021","11","125019.04921203376"
"2021","12","133936.8916600962"
"2022","1","140705.90189948148"
"2022","2","128249.24807890362"
"2022","3","96928.78270578696"
"2022","4","120379.84857426942"
"2022","5","137945.9821230398"
"2022","6","124006.09907126245"
"2022","7","132623.60201844416"
"2022","8","151520.9519681479"
"2022","9","155793.78908455995"
"2022","10","179878.3706393426"
"2022","11","167335.83517125266"
"2022","12","161887.93458554242"
"2023","1","157949.31931121732"
"2023","2","144326.69424744017"
"2023","3","127897.38393362696"
"2023","4","156008.85504439287"
"2023","5","165997.75938571416"
"2023","6","166294.11159407618"
"2023","7","173587.9838883388"
"2023","8","177376.37875651344"
"2023","9","192137.18980261552"
"2023","10","179429.22410936598"
"2023","11","174736.0747621697"
"2023","12","173237.1996835851"
"2024","1","178572.36732950056"
"2024","2","162609.1398225668"
"2024","3","21942.614053937086"
