"year_number","month_number","cost"
"2019","1","3535.25"
"2019","2","3139.28"
"2019","3","3461.5"
"2019","4","2548.71"
"2019","5","2848.39639"
"2019","6","2958.762945"
"2019","7","3615.6672599999993"
"2019","8","3735.1309786000006"
"2019","9","3656.7998233999992"
"2019","10","3818.6818134999994"
"2019","11","4029.036790899999"
"2019","12","3903.0934815"
"2020","1","3843.9094834"
"2020","2","3526.4855813050003"
"2020","3","3798.1324214899996"
"2020","4","2796.85405846"
"2020","5","2442.0326971"
"2020","6","2363.2450512"
"2020","7","2443.0129949767006"
"2020","8","-338.92916615280024"
"2020","9","2220.286415014"
"2020","10","2294.9494484972"
"2020","11","2220.3671192140005"
"2020","12","2294.2142079095997"
"2021","1","2294.1838314096"
"2021","2","2072.2793414008"
"2021","3","2294.1989068302"
"2021","4","2197.7897042617997"
"2021","5","2149.2020778219994"
"2021","6","2081.1135062744006"
"2021","7","831.5651466570006"
"2021","8","2150.0999578819997"
"2021","9","2081.2482470344003"
"2021","10","2623.2594375994"
"2021","11","2428.9976805818005"
"2021","12","2435.9856681245997"
"2022","1","2286.4501750744002"
"2022","2","2050.3226489078"
"2022","3","797.1738388755002"
"2022","4","2643.0765578010005"
"2022","5","2059.7959945439998"
"2022","6","1993.5030301599998"
"2022","7","2059.5308395440006"
"2022","8","2059.67152336"
"2022","9","2005.7508223029997"
"2022","10","11420.603877931799"
"2022","11","1798.1584163527993"
"2022","12","2391.801147665001"
"2023","1","3510.9911757737996"
"2023","2","5089.014553411"
"2023","3","3320.9255947007996"
"2023","4","7115.1351602906"
"2023","5","4535.8784226122"
"2023","6","10840.618288112591"
"2023","7","9721.739727688406"
"2023","8","8656.713286442802"
"2023","9","10127.6209806972"
"2023","10","11169.275553596006"
"2023","11","12788.930656241399"
"2023","12","13911.403667827804"
"2024","1","15804.891118889"
"2024","2","15652.393625850209"
"2024","3","13095.227088640397"
