"year_number","month_number","cost"
"2020","4","23.047898111700004"
"2020","5","54.84374768509999"
"2020","6","143.8654392828"
"2020","7","77.81232186499997"
"2020","8","70.5742422721"
"2020","9","77.97093852900001"
"2020","10","125.99381102859995"
"2020","11","189.95938509189995"
"2020","12","231.93537025380002"
"2021","1","297.30287155909997"
"2021","2","291.74619691980007"
"2021","3","394.3518822548999"
"2021","4","750.5414300593998"
"2021","5","411.4682341987001"
"2021","6","462.13831530460004"
"2021","7","513.8692873802"
"2021","8","644.7826008717001"
"2021","9","562.1862639699997"
"2021","10","548.6345866789"
"2021","11","553.1024319781001"
"2021","12","681.3369620128"
"2022","1","657.0680765902003"
"2022","2","558.9386311723005"
"2022","3","573.1022355994"
"2022","4","531.8937759402003"
"2022","5","615.8097572411002"
"2022","6","648.5384989445001"
"2022","7","655.1600804160003"
"2022","8","701.4584066218"
"2022","9","661.7121893675998"
"2022","10","675.4099781179001"
"2022","11","638.6211990882002"
"2022","12","694.5249861823996"
"2023","1","731.0219588200999"
"2023","2","656.6209656411997"
"2023","3","845.0321398183"
"2023","4","688.2343585993999"
"2023","5","722.9824587514996"
"2023","6","811.0813250991004"
"2023","7","838.7883314775004"
"2023","8","882.3812330465005"
"2023","9","958.1370909677008"
"2023","10","892.3369902577012"
"2023","11","771.9579586836006"
"2023","12","814.6957760677012"
"2024","1","1116.486843844901"
"2024","2","988.1426851543008"
"2024","3","195.12728508369992"
