"year_number","month_number","cost"
"2019","11","154.4132764408"
"2019","12","3408.8235866655014"
"2020","1","9277.016196776001"
"2020","2","9858.006706286704"
"2020","3","10630.998945166502"
"2020","4","12464.22797686251"
"2020","5","31786.612025562474"
"2020","6","43440.871787914715"
"2020","7","49298.585902343315"
"2020","8","50441.014149052986"
"2020","9","46833.84702711937"
"2020","10","46495.73483911356"
"2020","11","47408.303149883526"
"2020","12","48275.85207115729"
"2021","1","44407.043321291756"
"2021","2","41091.720302457965"
"2021","3","45224.19551290529"
"2021","4","47058.40623867676"
"2021","5","58219.63716775134"
"2021","6","62826.65785265328"
"2021","7","58656.073938519105"
"2021","8","58252.14829676123"
"2021","9","60720.39732150113"
"2021","10","62847.49323026323"
"2021","11","63696.397938050475"
"2021","12","67230.5941032533"
"2022","1","66903.20560668847"
"2022","2","77408.672667101"
"2022","3","85339.08670650826"
"2022","4","80732.27342930807"
"2022","5","58012.73261662626"
"2022","6","44075.437754033264"
"2022","7","45655.37433155452"
"2022","8","44904.75078950877"
"2022","9","47398.34707411749"
"2022","10","54788.36766864119"
"2022","11","45565.490247824055"
"2022","12","43318.627157420306"
"2023","1","43272.920111154875"
"2023","2","40816.014935679385"
"2023","3","43150.63576754795"
"2023","4","43194.53249845609"
"2023","5","46085.636455281274"
"2023","6","44754.90054934097"
"2023","7","46204.95292577001"
"2023","8","48036.426262200206"
"2023","9","62306.49524342088"
"2023","10","52359.996788242905"
"2023","11","51779.57582525172"
"2023","12","52623.87635282293"
"2024","1","50765.02329586167"
"2024","2","37171.326463575235"
"2024","3","8356.892193690503"
