"year_number","month_number","cost"
"2020","2","149.3637"
"2020","3","242.93880000000001"
"2020","4","915.48277792"
"2020","5","8916.479420579997"
"2020","6","8170.345073420003"
"2020","7","8371.727278300003"
"2020","8","8426.138400556201"
"2020","9","8151.222742233999"
"2020","10","9681.9565466608"
"2020","11","9824.4931892778"
"2020","12","10311.602126500002"
"2021","1","10367.87008075"
"2021","2","9523.2818659247"
"2021","3","17584.470768016905"
"2021","4","33913.17515356602"
"2021","5","18984.738469809614"
"2021","6","22627.68125793682"
"2021","7","13903.944652856806"
"2021","8","71948.79440184272"
"2021","9","67719.61494372021"
"2021","10","70408.59707556838"
"2021","11","75784.93510728504"
"2021","12","286122.73383241735"
"2022","1","308467.19713960506"
"2022","2","273179.5844854063"
"2022","3","295027.9280177504"
"2022","4","290856.1923052469"
"2022","5","316568.83654955256"
"2022","6","319355.31958820537"
"2022","7","283466.7159458358"
"2022","8","329726.0359275471"
"2022","9","444950.4515455473"
"2022","10","454191.2183424853"
"2022","11","365636.1551995991"
"2022","12","358439.30217361223"
"2023","1","359389.6808042344"
"2023","2","361301.36228706705"
"2023","3","369558.69959958206"
"2023","4","357196.4219054124"
"2023","5","366367.92447188374"
"2023","6","379876.8766561287"
"2023","7","376628.48044555547"
"2023","8","400084.6471908018"
"2023","9","295957.0225194384"
"2023","10","272624.3520379676"
"2023","11","256908.65997344741"
"2023","12","246590.45183092638"
"2024","1","245534.4663379676"
"2024","2","241092.68239406127"
"2024","3","54303.18147693227"
