"year_number","month_number","cost"
"2019","1","7147.801959531189"
"2019","2","6316.79929031209"
"2019","3","6626.8210933382925"
"2019","4","7054.614739742898"
"2019","5","7996.677531373885"
"2019","6","7792.6434936348915"
"2019","7","8081.496085744779"
"2019","8","7981.16888339769"
"2019","9","10043.147787940119"
"2019","10","10582.784272196777"
"2019","11","10225.113785306878"
"2019","12","10145.486062163323"
"2020","1","10947.730758537991"
"2020","2","12439.687890685678"
"2020","3","14667.550771945833"
"2020","4","14274.965078009378"
"2020","5","14637.728517020332"
"2020","6","14293.208771120633"
"2020","7","14677.137137067934"
"2020","8","14647.771327577972"
"2020","9","15784.2106471994"
"2020","10","17176.27454739721"
"2020","11","17548.973171857586"
"2020","12","18959.277779465137"
"2021","1","19150.148641451007"
"2021","2","17571.86555524399"
"2021","3","19034.795110316365"
"2021","4","18478.647859443925"
"2021","5","20394.144693606602"
"2021","6","19277.17498259669"
"2021","7","18891.367354584334"
"2021","8","19065.449038267925"
"2021","9","18664.42749811611"
"2021","10","25974.55173862154"
"2021","11","26125.16945383832"
"2021","12","25726.677759165697"
"2022","1","28042.37808798038"
"2022","2","32537.31743832"
"2022","3","14112.499192271638"
"2022","4","27096.713845419916"
"2022","5","23841.96873496503"
"2022","6","16793.268610939926"
"2022","7","18167.1423450544"
"2022","8","16807.229793785507"
"2022","9","17037.229190012997"
"2022","10","18636.768658536363"
"2022","11","17638.490413905987"
"2022","12","17803.29045122161"
"2023","1","18350.794788915286"
"2023","2","16305.786752685894"
"2023","3","18704.240701757022"
"2023","4","18394.315054873812"
"2023","5","17742.876402473634"
"2023","6","15347.37981185373"
"2023","7","15506.105084910741"
"2023","8","16934.944273070607"
"2023","9","16659.144574145"
"2023","10","17318.750654679123"
"2023","11","13364.610792027732"
"2023","12","12184.832634603006"
"2024","1","10989.255247945397"
"2024","2","10036.319908029021"
"2024","3","1842.1541430703003"
