"year_number","month_number","cost"
"2020","5","1459.7790371157012"
"2020","6","1324.5097330178999"
"2020","7","1441.1222630779007"
"2020","8","1541.3023681245004"
"2020","9","1380.5325012064998"
"2020","10","1380.6284974378007"
"2020","11","1399.4965089497998"
"2020","12","1710.7485628693016"
"2021","1","1646.0220122548017"
"2021","2","1523.1688090557009"
"2021","3","1737.637864267102"
"2021","4","1702.7406398485011"
"2021","5","1793.2903884538027"
"2021","6","1577.6675542846003"
"2021","7","1242.0986505681003"
"2021","8","1261.4972208893003"
"2021","9","1255.9999466740999"
"2021","10","1157.2771243066004"
"2021","11","1078.6708649971004"
"2021","12","985.2510493344002"
"2022","1","982.9251845740996"
"2022","2","1038.3396580170001"
"2022","3","1127.8967969648002"
"2022","4","1113.2030910157002"
"2022","5","1185.6173699257001"
"2022","6","1274.1731754153998"
"2022","7","1085.5574475922003"
"2022","8","1044.2612089001007"
"2022","9","1032.7553456133"
"2022","10","1062.0370118353003"
"2022","11","1054.3226426784004"
"2022","12","1068.7656157741003"
"2023","1","1067.5969909812006"
"2023","2","997.7818131778006"
"2023","3","1066.8202366754006"
"2023","4","1047.4278137237"
"2023","5","1072.4840014016008"
"2023","6","1045.1468513917002"
"2023","7","1190.7120897131006"
"2023","8","1175.0029071474005"
"2023","9","1049.5959679786006"
"2023","10","1075.4468287344007"
"2023","11","1053.7501834954"
"2023","12","1081.2396448677005"
"2024","1","1078.5350257067005"
"2024","2","1035.2790647982001"
"2024","3","419.7445435559"
