"year_number","month_number","cost"
"2019","10","823.3526367763999"
"2019","11","908.4281390106001"
"2019","12","2565.8396226846007"
"2020","1","2815.3731342981996"
"2020","2","2485.2725890682"
"2020","3","2732.5308957713"
"2020","4","3348.308289166701"
"2020","5","12961.457384594594"
"2020","6","13421.205780638102"
"2020","7","14297.086714792791"
"2020","8","14385.206644081007"
"2020","9","13838.179024280003"
"2020","10","16131.933099593705"
"2020","11","16238.845067092603"
"2020","12","17133.775534398996"
"2021","1","17219.163777930607"
"2021","2","16004.3943443931"
"2021","3","26959.597266257515"
"2021","4","47918.639578244074"
"2021","5","32984.10036768391"
"2021","6","37186.59924668879"
"2021","7","29140.078130308608"
"2021","8","87102.33192354263"
"2021","9","83414.93754374227"
"2021","10","89017.16509428539"
"2021","11","97837.17501130853"
"2021","12","315542.335172982"
"2022","1","346595.2641736086"
"2022","2","308022.7489359876"
"2022","3","337876.1007201676"
"2022","4","325281.93030783156"
"2022","5","353330.6582041595"
"2022","6","346300.49807255645"
"2022","7","306711.85557138064"
"2022","8","350020.63539590413"
"2022","9","466283.21290619497"
"2022","10","477906.6587193332"
"2022","11","394074.01172543265"
"2022","12","397414.08648804284"
"2023","1","399736.379529548"
"2023","2","407807.85790097713"
"2023","3","408201.04213364347"
"2023","4","390658.53024723055"
"2023","5","393730.27532672905"
"2023","6","405877.44645291154"
"2023","7","402412.0188914999"
"2023","8","425622.73118756484"
"2023","9","315845.2456163724"
"2023","10","291501.4645098125"
"2023","11","281705.1321552879"
"2023","12","287292.0526516775"
"2024","1","293778.09240983473"
"2024","2","268981.62633027806"
"2024","3","31238.0100344255"
