"year_number","month_number","cost"
"2019","9","-5.119999999999998E-8"
"2019","10","35.40481012659999"
"2019","11","149.86514391860007"
"2019","12","909.6114146253001"
"2020","1","737.0738060461999"
"2020","2","3004.297658689104"
"2020","3","3678.2548022801952"
"2020","4","3687.921154639499"
"2020","5","4017.9914869638005"
"2020","6","3914.170503707999"
"2020","7","3703.792960616609"
"2020","8","3273.5833724616073"
"2020","9","2886.7201138773007"
"2020","10","3069.7221052566015"
"2020","11","2960.982478594907"
"2020","12","3047.3038767550997"
"2021","1","3107.6153676282"
"2021","2","2793.294159303002"
"2021","3","3074.0438043388035"
"2021","4","3048.3517781954015"
"2021","5","3067.2266996202015"
"2021","6","2711.0495154397013"
"2021","7","2898.3876874447974"
"2021","8","3169.416995199508"
"2021","9","3315.4894593460003"
"2021","10","3055.6480210083996"
"2021","11","2961.5425009916994"
"2021","12","3057.5317695534977"
"2022","1","3111.3593268677014"
"2022","2","2809.2654185604983"
"2022","3","2051.175793160001"
"2022","4","2778.057488648201"
"2022","5","2822.650321542401"
"2022","6","2863.0175902763003"
"2022","7","2835.2120607140014"
"2022","8","2713.6682623456013"
"2022","9","2786.002179730199"
"2022","10","4280.900453930403"
"2022","11","3788.9185698247993"
"2022","12","4490.757511063507"
"2023","1","4749.182013148407"
"2023","2","3286.912755581599"
"2023","3","2352.1885520320993"
"2023","4","2118.2508305785"
"2023","5","2576.9444184369"
"2023","6","2666.1839138041996"
"2023","7","2640.8845358103995"
"2023","8","2622.3831555264996"
"2023","9","2133.8642564372"
"2023","10","1481.7172845242"
"2023","11","1024.6858026195996"
"2023","12","987.6419406101"
"2024","1","956.6164177395001"
"2024","2","893.1612359808993"
"2024","3","186.72913866940002"
